time,p_rgh,omega,k
0.3024,1.3658681e-11,3.6869487e-09,2.1916454e-08
0.302424,1.459948e-11,3.7214603e-09,2.1483325e-08
0.302448,2.1165815e-11,3.7109367e-09,2.2219857e-08
0.302472,2.138061e-11,3.658216e-09,2.221657e-08
0.302495,2.0908654e-11,3.516967e-09,2.1069623e-08
0.302519,2.1021004e-11,3.414535e-09,2.0213928e-08
0.302543,2.1271003e-11,3.3242446e-09,1.9445832e-08
0.302567,2.1325984e-11,3.2476703e-09,1.8788045e-08
0.302591,2.1536974e-11,3.2339932e-09,1.8296701e-08
0.302614,2.1624364e-11,3.2449795e-09,1.7941065e-08
0.302638,2.1914392e-11,3.26033e-09,1.7611611e-08
0.302662,2.1652889e-11,3.2835956e-09,1.7320653e-08
0.302686,2.0798907e-11,3.3127416e-09,1.7081928e-08
0.30271,1.9522016e-11,3.3418134e-09,1.6972237e-08
0.302733,1.7840766e-11,3.3631547e-09,1.684907e-08
0.302757,1.2066253e-11,3.3773276e-09,1.6706728e-08
0.302781,1.0683691e-11,3.3854223e-09,1.6556047e-08
0.302805,1.3031506e-11,3.3889051e-09,1.6402525e-08
0.302829,1.5333183e-11,3.3877889e-09,1.6266381e-08
0.302853,1.6107928e-11,3.3822884e-09,1.6121071e-08
0.302876,1.7287003e-11,3.3734672e-09,1.6257157e-08
0.3029,1.9968502e-11,3.3617326e-09,1.6433842e-08
0.302924,1.8292556e-11,3.3481278e-09,1.6589692e-08
0.302948,1.8532136e-11,3.3292753e-09,1.6708808e-08
0.302972,1.7473104e-11,3.3098549e-09,1.6813771e-08
0.302995,1.7594244e-11,3.2879526e-09,1.689578e-08
0.303019,1.8069004e-11,3.2656285e-09,1.6966518e-08
0.303043,1.7207474e-11,3.2570822e-09,1.702827e-08
0.303067,1.6854499e-11,3.2484715e-09,1.7072172e-08
0.303091,1.7067741e-11,3.2372029e-09,1.7094662e-08
0.303114,1.710201e-11,3.2223403e-09,1.7106992e-08
0.303138,1.6819983e-11,3.211442e-09,1.7115467e-08
0.303162,1.8073213e-11,3.2005222e-09,1.7096909e-08
0.303186,1.8871452e-11,3.1902136e-09,1.7071873e-08
0.30321,1.8723414e-11,3.1807531e-09,1.7118943e-08
0.303233,1.8689866e-11,3.1695006e-09,1.7148195e-08
0.303257,1.9104224e-11,3.1618135e-09,1.7191514e-08
0.303281,1.9782077e-11,3.1598094e-09,1.7271396e-08
0.303305,2.0144365e-11,3.1653957e-09,1.7412117e-08
0.303329,2.0612279e-11,3.1517262e-09,1.7535735e-08
0.303352,2.0662887e-11,3.1430701e-09,1.7615038e-08
0.303376,2.1182469e-11,3.1411347e-09,1.7692119e-08
0.3034,2.1469276e-11,3.1418573e-09,1.7782378e-08
0.303424,2.1640318e-11,3.1466087e-09,1.7885371e-08
0.303448,2.1693651e-11,3.1567676e-09,1.7972762e-08
0.303471,2.1915682e-11,3.1684051e-09,1.8104463e-08
0.303495,2.2723127e-11,3.1755276e-09,1.8262432e-08
